fc	zscore	Group	GO_category
0.436798966	-0.126626592512807	Unconserved	Other
-1.025471487	-0.0671803375456827	Unconserved	Other
-2.333872981	0.948026182371376	Unconserved	Other
-0.42241692	0.27840026321274	Unconserved	Other
1.188017388	-1.05601256401236	Unconserved	Other
1.188017388	-1.05601256401236	Unconserved	Other
-1.059423613	0.322531794782871	Unconserved	Other
-0.025349279	0.470847845438155	Unconserved	Other
-0.882051528	0.95554956922792	Unconserved	Other
-1.169306664	0.38456375829562	Unconserved	PS/tetrapyrrole_synthesis
-0.454426919	-1.21082958533124	Conserved	Other
-1.33320426	1.70748031330417	Unconserved	Other
-0.74721585	0.858452287644369	Unconserved	Other
-1.364319574	-0.0976462783884451	Unconserved	Other
-0.501258681	-0.165085707808772	Unconserved	Other
-2.413286736	1.31134013841318	Conserved	Other
-1.577647396	0.640976892215479	Unconserved	Other
-0.167310933	-0.768257725302163	Unconserved	Other
-2.340401472	2.4101098239736	Unconserved	PS/tetrapyrrole_synthesis
-1.34712284	0.748355982771478	Unconserved	Other
-0.673875719	0.162139623919294	Unconserved	Other
-0.049407195	-2.19828740295351	Unconserved	Other
-0.614508527	1.19827985814742	Conserved	Other
-0.13825389	-1.61709944244295	Unconserved	Other
-2.978745085	1.95734853476668	Conserved	PS/tetrapyrrole_synthesis
-0.503811232	0.502449657087375	Unconserved	PS/tetrapyrrole_synthesis
0.130790195	-1.53557947275704	Unconserved	Other
-0.618695185	-0.595141878196028	Unconserved	Other
-2.557426979	0.862259435506709	Unconserved	Other
0.775757076	0.210892227440963	Unconserved	Other
1.446209799	-1.51277432232423	Unconserved	Other
0.325297834	-1.65127543311827	Conserved	Other
0.95408719	-1.67266248523814	Unconserved	Other
-2.694711356	2.22039758623706	Conserved	PS/tetrapyrrole_synthesis
-1.030200468	-0.153371192924954	Unconserved	PS/tetrapyrrole_synthesis
-1.763408759	0.0274110451120473	Unconserved	Other
-2.492414524	1.76333439655654	Unconserved	PS/tetrapyrrole_synthesis
0.14449889	-0.776603062797823	Unconserved	Other
-0.267765728	0.66558865917372	Unconserved	Other
0.035846947	0.215567534287378	Unconserved	Other
0.156046729	0.678999284474912	Unconserved	Other
-1.398237536	0.186558309673981	Unconserved	Other
-0.668709033	-0.580438290179007	Unconserved	Other
1.056856126	-0.788290594107453	Unconserved	Other
-0.172453641	1.25283481328032	Unconserved	Other
-0.97083764	0.174030570121685	Unconserved	Other
-2.964695275	0.987440840790105	Unconserved	Other
-4.698796393	-1.98491252897629	Unconserved	Other
-7.699558962	2.08048911761475	Conserved	PS/tetrapyrrole_synthesis
-0.243407217	-1.98626152465707	Conserved	Other
-0.056851848	-1.22818261847195	Unconserved	Other
-1.391670919	-0.726295353552515	Unconserved	Other
